Accession	Yield	Protein	Oil	Environment
PI001	3450	42.5	18.2	Location1
PI002	3520	42.8	18.1	Location1
PI003	3480	42.6	18.3	Location1
PI004	3510	42.7	18.2	Location1
PI005	3490	42.4	18.4	Location1
PI006	3530	42.9	18.0	Location2
PI007	3470	42.5	18.3	Location2
PI008	3500	42.7	18.2	Location2
PI009	3485	42.6	18.1	Location2
PI010	3515	42.8	18.2	Location2
PI011	3200	40.2	19.5	Location1
PI012	3180	40.1	19.6	Location1
PI013	3210	40.3	19.4	Location1
PI014	3190	40.0	19.7	Location1
PI015	3220	40.4	19.3	Location1
PI016	3170	40.2	19.5	Location2
PI017	3230	40.5	19.4	Location2
PI018	3195	40.1	19.6	Location2
PI019	3205	40.3	19.5	Location2
PI020	3215	40.4	19.3	Location2
PI021	3750	44.8	17.2	Location1
PI022	3780	44.9	17.1	Location1
PI023	3760	44.7	17.3	Location1
PI024	3790	45.0	17.0	Location1
PI025	3770	44.8	17.2	Location1
PI026	3755	44.6	17.4	Location2
PI027	3785	44.9	17.1	Location2
PI028	3765	44.7	17.3	Location2
PI029	3775	44.8	17.2	Location2
PI030	3795	45.1	17.0	Location2
PI031	3400	41.5	18.8	Location1
PI032	3420	41.6	18.7	Location1
PI033	3410	41.4	18.9	Location1
PI034	3250	40.8	19.2	Location1
PI035	3270	40.9	19.1	Location1
PI036	3260	40.7	19.3	Location1
PI037	3700	44.2	17.5	Location1
PI038	3720	44.3	17.4	Location1
PI039	3710	44.1	17.6	Location1
PI040	3380	41.2	18.9	Location2
PI041	3290	40.5	19.4	Location2
PI042	3680	43.8	17.8	Location2
PI043	3550	43.0	18.0	Location1
PI044	3240	40.6	19.5	Location1
PI045	3730	44.5	17.3	Location1
PI046	3560	43.1	17.9	Location2
PI047	3250	40.7	19.6	Location2
PI048	3740	44.6	17.2	Location2
PI049	3570	43.2	17.8	Location1
PI050	3460	42.1	18.5	Location1
